gonderici_id,Toplam_fatura,Toplam_fatura_dovizi,Toplam_navlun,Toplam_navlun_dovizi,Toplam_sigorta,Toplam_sigorta_dovizi,Toplam_yurt_disi_harcamalar,Toplam_yurt_disi_harcamalarin_dovizi,Toplam_yurt_ici_harcamalar,Telafi_edici_vergi,Kap_adedi,DolayliOdeme,Komisyon,Tellaliye,RoyaltiLisans,Nakliye,Sigorta,GirisSonrasiNakliye,DigerOdemeler,VergiHarcFon,Brut_agirlik,Net_agirlik,Istatistiki_miktar,Fatura_miktari,Fatura_miktarinin_dovizi,Navlun_miktari,Navlun_miktarinin_dovizi,Istatistiki_kiymet,Sigorta_miktari,Sigorta_miktarinin_dovizi,Miktar_birimi,Adedi,Miktar,Yurtici_Diger,Yurtici_Banka,Yurtici_Depolama,Yurtici_Tahliye,Yurtici_Liman,Yurtici_Kultur,Yurtici_Kkdf,KDV_Iceren_Yurtici_Giderler_Toplami,Yurtici_Cevre,YurtDisi_Komisyon,YurtDisi_Komisyon_Dovizi,YurtDisi_Demuraj,YurtDisi_Demuraj_Dovizi,YurtDisi_Royalti,YurtDisi_Royalti_Dovizi,YurtDisi_Faiz,YurtDisi_Faiz_Dovizi,YurtDisi_Diger,YurtDisi_Diger_Dovizi,Alici,Rejim,Cikis_ulkesi,Gidecegi_sevk_ulkesi,Teslim_sekli,Teslim_yeri,Gonderici_satici_iliskisi,Islemin_niteligi,OdemeSekliKodu,VergiKodu,Gtip,Mensei_ulke,KDV_Oran,file_name
NoGonderici,60953.31,EUR,10000.0,,800.0,TRY,3500.0,TRY,6624.1,0.0,13.0,0.0,0.0,0.0,0.0,40.95,2.58,0.0,0.0,0.0,0.8,0.4,20.0,729.0,EUR,6.92,TRY,0.0,9.56,TRY,C62,13.0,20.0,19.42,0.0,59.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,41.86,TRY,,4071,005,005,FCA,İTALYA,,,1,10,401699970019,005,,IM18446 - giden.xml
NoGonderici,16000.0,EUR,25000.0,,300.0,TRY,0.0,,21624.1,0.0,10.0,0.0,0.0,0.0,0.0,25000.0,300.0,0.0,0.0,0.0,10190.0,10000.0,10000.0,16000.0,EUR,25000.0,TRY,0.0,300.0,TRY,KGM,10.0,10000.0,2624.1,0.0,10000.0,4000.0,5000.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,005,005,EXW,İTALYA,,,2,10,690912000000,005,,IM15985 - giden.xml
NoGonderici,45164.22,USD,59500.0,,500.0,TRY,50930.14,TRY,31000.0,0.0,9.0,0.0,0.0,0.0,0.0,4066.61,23.81,0.0,0.0,0.0,200.46,169.0,104.0,2216.24,USD,4066.61,TRY,0.0,23.81,TRY,C62,1.0,104.0,196.28,0.0,981.41,147.21,196.28,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,50930.14,TRY,,4000,720,720,FOB,ÇİN HALK CUMHURİYETİ,,11,1,10,848180110000,720,,IM215 - giden.xml
NoGonderici,16839.8,USD,12500.0,,220.0,TRY,0.0,,22150.0,0.0,9.0,0.0,0.0,0.0,0.0,2599.1,80.41,0.0,0.0,0.0,1204.9,830.0,1000.0,10685.0,USD,9900.9,TRY,0.0,139.59,TRY,C62,1.0,1000.0,1903.52,95.17,7614.1,1269.01,3172.54,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4000,720,720,FOB,ÇİN HALK CUMHURİYETİ,,11,2,10,741820000011,720,,IM2138 - giden.xml
NoGonderici,12068.0,USD,107850.0,,180.0,TRY,0.0,,33100.0,0.0,13.0,0.0,0.0,0.0,0.0,107850.0,180.0,0.0,0.0,0.0,1163.89,636.54,800.0,12068.0,USD,107850.0,TRY,0.0,180.0,TRY,C62,1.0,800.0,4000.0,100.0,15000.0,4000.0,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4000,720,720,FOB,ÇİN HALK CUMHURİYETİ,,11,2,10,842489700000,720,,IM4641 - giden.xml
NoGonderici,11460.0,EUR,30250.0,,200.0,TRY,2000.0,TRY,4500.0,0.0,6.0,0.0,0.0,0.0,0.0,30250.0,200.0,0.0,0.0,0.0,6138.0,6000.0,6000.0,11460.0,EUR,30250.0,TRY,0.0,200.0,TRY,KGM,6.0,6000.0,1000.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,2000.0,TRY,,4071,011,011,EXW,İSPANYA,,11,1,10,320710000000,011,,IM4597 - giden.xml
NoGonderici,14330.0,USD,0.0,,0.0,,0.0,,10000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.5,5.0,14330.0,USD,0.0,,0.0,0.0,,C62,1.0,5.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4000,740,740,CIP,İSTANBUL,,,2,10,844399909000,400,,IM21352 - giden.xml
NoGonderici,22671.0,GBP,276500.0,,320.0,TRY,0.0,,357000.0,0.0,80.0,0.0,0.0,0.0,0.0,276500.0,320.0,0.0,0.0,0.0,101800.0,100000.0,100000.0,22671.0,GBP,276500.0,TRY,0.0,320.0,TRY,KGM,4.0,100000.0,5000.0,0.0,332000.0,5000.0,15000.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4000,006,006,FCA,Birleşik Krallık,,11,2,10,250700200011,006,,IM3513 - giden.xml
NoGonderici,39040.0,EUR,54000.0,,550.0,TRY,0.0,,28000.0,0.0,22.0,0.0,0.0,0.0,0.0,53092.71,540.98,0.0,0.0,0.0,24285.0,24000.0,24000.0,38400.0,EUR,53092.71,TRY,0.0,540.98,TRY,KGM,1.0,24000.0,3934.42,0.0,12786.88,4918.03,5901.64,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4000,005,005,EXW,İTALYA,,,2,10,690912000000,005,,IM21559 - giden.xml
NoGonderici,4359.8,GBP,120500.0,,100.0,TRY,0.0,,5624.1,0.0,16.0,0.0,0.0,0.0,0.0,120500.0,100.0,0.0,0.0,0.0,20360.0,20000.0,20000.0,4359.8,GBP,120500.0,TRY,0.0,100.0,TRY,KGM,16.0,20000.0,1624.1,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,006,006,FCA,Birleşik Krallık,,11,2,10,250700200011,006,,IM657 - giden.xml
NoGonderici,12182.4,EUR,107500.0,,200.0,TRY,0.0,,163624.1,0.0,40.0,0.0,0.0,0.0,0.0,107500.0,200.0,0.0,0.0,0.0,41400.0,40000.0,40000.0,12182.4,EUR,107500.0,TRY,0.0,200.0,TRY,KGM,40.0,40000.0,4624.1,0.0,135000.0,4000.0,20000.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,004,017,FCA,ALMANYA,,11,2,10,250700800012,004,,IM6449 - giden.xml
